"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","compensation","coordinates","correct","correct_F05","correct_button_mouse","correct_instructions","correct_mouse","correct_response","count_F05","count_block_loop","count_block_sequence","count_end_of_experiment","count_experiment","count_experimental_loop","count_fixation","count_instructions","count_logger","count_mouse","count_reset_feedback","count_stimuli","count_trial_sequence","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","initiation_time","initiation_time_mouse","left_color","left_shape","live_row","live_row_block_loop","live_row_experimental_loop","logfile","opensesame_codename","opensesame_version","practice","repeat_cycle","response","response_F05","response_end_of_experiment","response_instructions","response_mouse","response_time","response_time_F05","response_time_end_of_experiment","response_time_instructions","response_time_mouse","right_color","right_shape","round_decimals","sound_buf_size","sound_channels","sound_freq","sound_sample_size","square","start","subject_nr","subject_parity","time_F05","time_block_loop","time_block_sequence","time_end_of_experiment","time_experiment","time_experimental_loop","time_fixation","time_instructions","time_logger","time_mouse","time_reset_feedback","time_stimuli","time_trial_sequence","timestamps_mouse","title","total_correct","total_response_time","total_responses","trial_type","uniform_coordinates","width","xpos_mouse","ypos_mouse"
"undefined","undefined","undefined","undefined","black","yes","psycho","0","uniform","1","0","right_button","undefined","1","right_button","0","0","0","0","0","0","0","0","0","0","0","0","0","Fri Sep 30 08:59:58 2022","A template containing a practice and an experimental phase","yes","circle_square.osexp","C:/github/PercAct2022/mousetracking/example_experiments","no","mono","no","18","no","white","no","yes","768","833.3321000100113","833.3321000100113","#20ffff","rectangle","0","0","0","C:/github/PercAct2022/mousetracking/example_experiments/subject-2.csv","Lentiform Loewenfeld","3.3.12","no","0","right_button","space","NA","space","right_button","1554.7721000039019","3876.959999994142","NA","903.2590000133496","1554.7721000039019","#fc0107","circle","2","1024","2","48000","-16","","experiment","2","even","9174.00169998291","7032.2884999914095","7032.040699996287","NA","6103.435999975773","7031.266299978597","7141.890099999728","6126.273499976378","14630.780499981483","13071.397899999283","NA","13070.88990000193","7123.91480000224","[13074.11229997524, 13084.604100004071, 13095.091199997114, 13105.528999993112, 13115.889899985632, 13126.265500002773, 13136.64029998472, 13146.98699998553, 13157.293700001901, 13167.70349998842, 13178.01309999777, 13188.396699988516, 13198.735499987379, 13209.05049997964, 13219.404799980111, 13229.685799975414, 13239.978300000075, 13250.22089999402, 13260.452499991516, 13270.697899977677, 13280.914799979655, 13291.12029998214, 13301.302199979546, 13311.491400003433, 13321.692099998472, 13331.874700001208, 13342.214099975536, 13352.63280000072, 13363.00929999561, 13373.27219999861, 13383.520899980795, 13393.73319997685, 13403.94039999228, 13414.105399977416, 13424.293999996735, 13434.49879999389, 13444.803899998078, 13455.061699991347, 13465.28259999468, 13475.591700000223, 13486.162599991076, 13496.37249999796, 13506.584599992493, 13516.780299978564, 13527.028599986807, 13537.400699977297, 13547.659599978942, 13557.896299986169, 13568.090599990683, 13578.393399977358, 13588.642099988647, 13598.813799995696, 13609.130600001663, 13619.376499991631, 13629.571500001475, 13639.78609998594, 13649.988999997731, 13660.3608999867, 13670.759899978293, 13681.161699991208, 13691.515699989395, 13701.852400001371, 13712.095499999123, 13722.31029998511, 13732.546299987007, 13742.758999986108, 13753.086499986239, 13763.363399979426, 13773.581099987496, 13783.855399989989, 13794.159599987324, 13804.48169997544, 13814.732400001958, 13824.944899999537, 13835.263599990867, 13845.607800001744, 13855.873399996199, 13866.153999988455, 13876.496499986388, 13886.80629999726, 13897.053199994843, 13907.444399985252, 13917.801599978702, 13928.132100001676, 13938.40879999334, 13948.658799985424, 13959.05929998844, 13969.513799995184, 13980.077299987897, 13990.363699995214, 14000.755899993237, 14011.110699997516, 14021.412100002635, 14031.787699990673, 14042.17040000367, 14052.611699997215, 14062.873799994122, 14073.297299997648, 14083.617600001162, 14093.877799983602, 14104.264699999476, 14114.693899988197, 14125.232199992752, 14135.549300001003, 14145.989499986172, 14156.358799984446, 14166.603599995142, 14176.965399994515, 14187.28209999972, 14197.65479999478, 14208.08670000406, 14218.84729998419, 14229.151599982288, 14239.63189998176, 14250.009999988833, 14260.436499986099, 14270.835599978454, 14281.187199987471, 14291.793599986704, 14302.300499984995, 14312.54019998596, 14322.792299994035, 14333.00159999635, 14343.211899977177, 14353.501799982041, 14363.703999988502, 14373.927399981767, 14384.0962999966, 14394.361899991054, 14404.801999975462, 14415.081499988446, 14425.440199993318, 14435.694999992847, 14445.860599982552, 14456.060399999842, 14466.234699997585, 14476.44929998205, 14486.649400001625, 14496.844899986172, 14507.040700002108, 14517.249500000617, 14527.4430999998, 14537.695599981816, 14547.86619998049, 14558.139699976891, 14568.500800000038, 14578.811099985614, 14589.095599978464, 14599.369599978672, 14609.770699986257, 14620.02579998807, 14628.884399979142]","Extended template","0","0","0","dissimilar","yes","1024","[0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 30.0, 45.0, 76.0, 97.0, 133.0, 150.0, 185.0, 205.0, 216.0, 239.0, 250.0, 267.0, 275.0, 284.0, 288.0, 291.0, 296.0, 298.0, 302.0, 304.0, 314.0, 319.0, 325.0, 335.0, 339.0, 343.0, 346.0, 348.0, 351.0, 353.0, 354.0, 356.0, 357.0, 357.0, 357.0, 357.0, 357.0, 357.0, 357.0, 357.0, 357.0, 357.0, 357.0, 357.0, 357.0, 357.0, 357.0, 357.0, 357.0, 357.0, 357.0, 357.0, 357.0, 357.0, 357.0, 357.0, 357.0, 357.0, 357.0, 357.0, 357.0, 357.0, 357.0, 357.0, 357.0, 357.0, 357.0, 357.0, 357.0, 357.0]","[0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -17.0, -26.0, -48.0, -58.0, -79.0, -88.0, -106.0, -118.0, -126.0, -139.0, -148.0, -159.0, -163.0, -170.0, -171.0, -173.0, -176.0, -177.0, -181.0, -183.0, -191.0, -195.0, -203.0, -213.0, -221.0, -228.0, -231.0, -235.0, -241.0, -249.0, -252.0, -254.0, -256.0, -258.0, -258.0, -258.0, -258.0, -258.0, -258.0, -258.0, -258.0, -258.0, -258.0, -258.0, -258.0, -258.0, -258.0, -258.0, -258.0, -258.0, -258.0, -258.0, -258.0, -258.0, -258.0, -258.0, -258.0, -258.0, -258.0, -258.0, -258.0, -258.0, -258.0, -258.0, -258.0, -258.0, -258.0, -258.0, -258.0, -258.0]"
"undefined","undefined","undefined","undefined","black","yes","psycho","0","uniform","1","0","right_button","undefined","1","right_button","1","0","0","0","0","0","1","0","1","1","0","1","1","Fri Sep 30 08:59:58 2022","A template containing a practice and an experimental phase","yes","circle_square.osexp","C:/github/PercAct2022/mousetracking/example_experiments","no","mono","no","18","no","white","no","yes","768","564.9644999939483","564.9644999939483","#fc0107","rectangle","1","1","0","C:/github/PercAct2022/mousetracking/example_experiments/subject-2.csv","Lentiform Loewenfeld","3.3.12","no","0","right_button","space","NA","space","right_button","1165.490499988664","2609.262999991188","NA","903.2590000133496","1165.490499988664","#fc0107","circle","2","1024","2","48000","-16","","experiment","2","even","16801.055799995083","7032.2884999914095","7032.040699996287","NA","6103.435999975773","7031.266299978597","14786.909799993737","6126.273499976378","20601.619199995184","19432.718500000192","NA","19432.167499995558","14771.084099978907","[19433.932999992976, 19444.352099992102, 19454.652199987322, 19465.115500002867, 19475.448799988953, 19485.69519998273, 19496.197599975858, 19506.553799990797, 19516.77039999049, 19527.023999980884, 19537.30369999539, 19547.504199988907, 19557.668299996294, 19567.931400000816, 19578.231399995275, 19588.45339997788, 19598.769999982323, 19609.05069997534, 19619.267200003378, 19629.502700001467, 19639.72599999397, 19649.947099998826, 19660.273199988296, 19670.547299989266, 19680.785699980333, 19691.00309998612, 19701.219999988098, 19711.42239999608, 19721.626399987144, 19731.877699989127, 19742.15949999052, 19752.417099982267, 19762.647299998207, 19772.833199996967, 19783.14230000251, 19793.509399984032, 19803.893399977824, 19814.171399979386, 19824.364300002344, 19834.700299979886, 19844.94129999075, 19855.19849997945, 19865.54060000344, 19875.754199980292, 19885.961699998006, 19896.201600000495, 19906.587299978128, 19916.826499975286, 19927.046800003154, 19937.33409998822, 19947.72070000181, 19957.959599996684, 19968.211400002474, 19978.418199985754, 19988.6400999967, 19998.897499986924, 20009.18510000338, 20019.46339997812, 20029.92499998072, 20040.187399979914, 20050.45009998139, 20060.70689999615, 20070.970200002193, 20081.245399982436, 20091.485499986447, 20101.93099998287, 20112.203999975463, 20122.475199983455, 20132.734999991953, 20143.170900002588, 20153.438899986213, 20163.725499995053, 20173.98890000186, 20184.33560000267, 20194.60779998917, 20205.020099994726, 20215.40419998928, 20225.831899995683, 20236.2755999784, 20247.382200002903, 20257.790899981046, 20268.215899995994, 20278.483699978096, 20288.75189999235, 20299.03519997606, 20309.39749997924, 20319.82340000104, 20330.264399992302, 20340.577399998438, 20350.86069998215, 20361.118999979226, 20371.508699987317, 20381.92079999135, 20392.231299978448, 20402.488699997775, 20412.905299977865, 20423.1455999834, 20433.359799993923, 20443.683699995745, 20454.063799988944, 20464.504799980205, 20474.81259997585, 20485.03039998468, 20495.22129999241, 20505.41620000149, 20515.61859998037, 20525.89550000266, 20536.177300004056, 20546.390599978622, 20556.801700004144, 20567.017599998508, 20577.206899994053, 20587.434399989434, 20597.63929998735, 20599.42349998164]","Extended template","0","0","0","similar","yes","1024","[0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 30.0, 63.0, 96.0, 108.0, 117.0, 146.0, 156.0, 177.0, 183.0, 188.0, 201.0, 210.0, 230.0, 237.0, 256.0, 266.0, 275.0, 287.0, 288.0, 290.0, 290.0, 297.0, 301.0, 315.0, 320.0, 325.0, 330.0, 333.0, 336.0, 336.0, 339.0, 341.0, 342.0, 343.0, 343.0, 343.0, 343.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0]","[0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -24.0, -44.0, -65.0, -72.0, -79.0, -97.0, -104.0, -114.0, -119.0, -122.0, -135.0, -145.0, -164.0, -172.0, -191.0, -203.0, -216.0, -231.0, -232.0, -233.0, -233.0, -238.0, -240.0, -245.0, -248.0, -249.0, -252.0, -252.0, -252.0, -253.0, -254.0, -254.0, -254.0, -254.0, -254.0, -254.0, -254.0, -255.0, -255.0, -255.0, -255.0, -255.0, -255.0, -255.0, -255.0, -255.0, -255.0, -255.0, -255.0, -255.0, -255.0, -255.0, -255.0, -255.0, -255.0, -255.0, -255.0, -255.0, -255.0]"
"undefined","undefined","undefined","undefined","black","yes","psycho","0","uniform","1","0","right_button","undefined","1","right_button","2","0","0","0","0","0","2","0","2","2","0","2","2","Fri Sep 30 08:59:58 2022","A template containing a practice and an experimental phase","yes","circle_square.osexp","C:/github/PercAct2022/mousetracking/example_experiments","no","mono","no","18","no","white","no","yes","768","587.4848000239581","587.4848000239581","#fc0107","rectangle","2","2","0","C:/github/PercAct2022/mousetracking/example_experiments/subject-2.csv","Lentiform Loewenfeld","3.3.12","no","0","right_button","space","NA","space","right_button","1272.5777000014205","1095.4975000058766","NA","903.2590000133496","1272.5777000014205","#fc0107","circle","2","1024","2","48000","-16","","experiment","2","even","22779.689599992707","7032.2884999914095","7032.040699996287","NA","6103.435999975773","7031.266299978597","20764.590799983125","6126.273499976378","25172.0410999842","23896.04120000149","NA","23895.40529999067","20739.336200000253","[23897.1924999787, 23907.61629998451, 23917.99329998321, 23928.61199998879, 23938.889699988067, 23949.125599989202, 23959.299299982376, 23969.5077999786, 23979.712400003336, 23990.007899992634, 24000.255499995546, 24010.587299999315, 24020.849399996223, 24031.12699999474, 24041.304299986223, 24051.56269998406, 24061.911999975564, 24072.268299991265, 24082.500899996376, 24092.91029997985, 24103.274199995212, 24113.47549999482, 24123.814399994444, 24134.127800003625, 24144.53119999962, 24154.744100000244, 24165.014099999098, 24175.231999979587, 24185.444299975643, 24195.644999999786, 24206.03729999857, 24216.325799992774, 24226.68910000357, 24236.984499992104, 24247.205899999244, 24257.479499996407, 24267.858299979707, 24278.23499997612, 24288.476499990793, 24298.684999987017, 24308.933699998306, 24319.298199989134, 24329.669300001115, 24340.06970000337, 24350.430899998173, 24360.881400003564, 24371.197599975858, 24381.46139998571, 24391.661699977703, 24401.99620000203, 24412.595100002363, 24422.876600001473, 24433.17350000143, 24443.470199999865, 24453.72759999009, 24464.008299983107, 24474.209699983476, 24484.67730000266, 24495.088299998315, 24505.478199978825, 24515.855499979807, 24526.310999994166, 24536.654499999713, 24546.999499987578, 24557.6405999891, 24567.961699998705, 24578.475499991328, 24588.804099999834, 24599.13200000301, 24609.50259998208, 24619.844499975443, 24630.182900000364, 24640.474999992875, 24650.89019999141, 24661.23689999222, 24671.570999984397, 24681.981200003065, 24692.526799975894, 24702.954899985343, 24713.299399998505, 24723.65859997808, 24733.98449999513, 24744.531999982428, 24754.89499999094, 24765.22489998024, 24775.53529999568, 24785.94429997611, 24796.29329999443, 24806.586699996842, 24817.3506000021, 24827.664299984463, 24837.8631999949, 24848.1974999886, 24858.554199978244, 24868.76260000281, 24878.96569998702, 24889.163099986035, 24899.35890000197, 24909.699399984675, 24919.989599991823, 24930.198699992616, 24940.36859998596, 24950.772799988044, 24961.26959999674, 24971.467199997278, 24981.670599983772, 24991.8495999882, 25002.042599982815, 25012.24069998716, 25022.440300002927, 25032.65239999746, 25042.97109998879, 25053.346599976066, 25063.68890000158, 25073.952599981567, 25084.20240000123, 25094.516299985116, 25104.81589997653, 25115.10100000305, 25125.432699976955, 25135.631099983584, 25145.889199979138, 25156.243199977325, 25166.50349998963, 25169.77019998012]","Extended template","0","0","0","similar","yes","1024","[0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.0, 14.0, 23.0, 30.0, 38.0, 40.0, 50.0, 53.0, 57.0, 64.0, 66.0, 72.0, 75.0, 85.0, 92.0, 104.0, 132.0, 138.0, 149.0, 152.0, 163.0, 173.0, 197.0, 210.0, 220.0, 243.0, 258.0, 286.0, 293.0, 311.0, 320.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0]","[0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -7.0, -16.0, -28.0, -33.0, -42.0, -43.0, -50.0, -53.0, -56.0, -61.0, -63.0, -68.0, -73.0, -84.0, -92.0, -106.0, -130.0, -136.0, -144.0, -147.0, -151.0, -157.0, -165.0, -173.0, -178.0, -193.0, -200.0, -208.0, -214.0, -220.0, -220.0, -220.0, -220.0, -220.0, -220.0, -220.0, -220.0, -220.0, -220.0, -220.0, -220.0, -220.0, -220.0, -220.0, -220.0, -220.0, -220.0, -220.0, -220.0, -220.0, -220.0, -220.0, -220.0, -220.0, -220.0, -220.0, -220.0, -220.0, -220.0, -220.0, -220.0, -220.0, -220.0, -220.0, -220.0, -220.0, -220.0]"
"undefined","undefined","undefined","undefined","black","yes","psycho","0","uniform","1","0","right_button","undefined","1","right_button","3","0","0","0","0","0","3","0","3","3","0","3","3","Fri Sep 30 08:59:58 2022","A template containing a practice and an experimental phase","yes","circle_square.osexp","C:/github/PercAct2022/mousetracking/example_experiments","no","mono","no","18","no","white","no","yes","768","730.1617999910377","730.1617999910377","#20ffff","rectangle","3","3","0","C:/github/PercAct2022/mousetracking/example_experiments/subject-2.csv","Lentiform Loewenfeld","3.3.12","no","0","right_button","space","NA","space","right_button","1256.9426000118256","1160.984800022561","NA","903.2590000133496","1256.9426000118256","#fc0107","circle","2","1024","2","48000","-16","","experiment","2","even","27342.653799976688","7032.2884999914095","7032.040699996287","NA","6103.435999975773","7031.266299978597","25327.091299986932","6126.273499976378","29785.879699978977","28525.497700000415","NA","28525.056999991648","25305.875999998534","[28526.67669998482, 28537.08729997743, 28547.59020000347, 28558.028899977216, 28568.270799994934, 28578.498899994884, 28588.698899984593, 28599.02169997804, 28609.24319998594, 28619.444099982502, 28629.649299982702, 28639.901499991538, 28650.146200001473, 28660.375999985263, 28670.56450000382, 28680.75199998566, 28691.036899981555, 28701.21349999681, 28711.450799979502, 28721.623399993405, 28731.861399981426, 28742.158499982907, 28752.359999984037, 28762.659100000747, 28773.14259999548, 28783.389399992302, 28793.608999985736, 28803.796399995917, 28814.00029998622, 28824.32240000344, 28834.64109999477, 28844.948199985083, 28855.20429999451, 28865.434199979063, 28875.648299988825, 28885.96630000393, 28896.25699998578, 28906.649999989895, 28917.00019998825, 28927.226300002076, 28937.449299992295, 28947.69999998971, 28958.07860000059, 28968.419999990147, 28978.75449998537, 28989.192899985937, 28999.547099985648, 29009.771799988812, 29020.111399993766, 29030.5309999967, 29040.938199992524, 29051.251400000183, 29061.49500000174, 29071.675999992294, 29081.88969999901, 29092.165899986867, 29102.37569999299, 29112.617099977797, 29122.944100003224, 29133.27130000107, 29143.486699991627, 29153.715499996906, 29163.9690999873, 29174.33670000173, 29184.592699981295, 29194.78719998733, 29205.012399994303, 29215.314000000944, 29225.66589998314, 29235.880899999756, 29246.149699989473, 29256.838499975856, 29267.291500000283, 29277.711299975635, 29288.05899998406, 29298.376899998402, 29308.737099985592, 29319.029899983434, 29329.44519998273, 29339.806699979817, 29350.167900003726, 29360.54999998305, 29370.938599982765, 29381.270299985772, 29391.617799992673, 29402.628099982394, 29412.957799999276, 29423.379499989096, 29433.739300002344, 29444.09539998742, 29454.4118999911, 29464.75119999377, 29475.121099996613, 29485.326599999098, 29495.627099997364, 29505.879999982426, 29516.059899993706, 29526.37959999265, 29536.720099975355, 29547.065299993847, 29557.400799996685, 29567.751299997326, 29578.095299977576, 29588.56599999126, 29599.245699995663, 29609.563599980902, 29619.800799991935, 29630.023199977586, 29640.22339999792, 29650.547199998982, 29660.809499997413, 29671.056999999564, 29681.465499976184, 29691.938399977516, 29702.167299983557, 29712.35469999374, 29722.692999988794, 29733.04520000238, 29743.38010000065, 29753.571599983843, 29763.94919998711, 29774.256199976662, 29783.619299996644]","Extended template","0","0","0","dissimilar","yes","1024","[0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 32.0, 53.0, 92.0, 116.0, 143.0, 158.0, 172.0, 199.0, 209.0, 231.0, 243.0, 267.0, 278.0, 292.0, 295.0, 305.0, 323.0, 333.0, 344.0, 348.0, 348.0, 348.0, 348.0, 348.0, 348.0, 354.0, 356.0, 363.0, 366.0, 368.0, 373.0, 375.0, 375.0, 375.0, 375.0, 375.0, 375.0, 375.0, 375.0, 375.0, 375.0, 375.0, 375.0, 375.0, 375.0, 375.0, 375.0, 375.0, 375.0, 375.0, 375.0]","[0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -28.0, -46.0, -78.0, -100.0, -126.0, -137.0, -149.0, -171.0, -180.0, -201.0, -211.0, -231.0, -239.0, -251.0, -255.0, -261.0, -275.0, -280.0, -291.0, -293.0, -294.0, -294.0, -294.0, -294.0, -294.0, -297.0, -299.0, -302.0, -304.0, -305.0, -306.0, -306.0, -306.0, -306.0, -306.0, -306.0, -306.0, -306.0, -306.0, -306.0, -306.0, -306.0, -306.0, -306.0, -306.0, -306.0, -306.0, -306.0, -306.0, -306.0, -306.0]"
